dataset,title,accessURL,mediaType,dist_title,byteSize,issued,modified,theme
https://datos.madrid.es/egob/catalogo/300726-0-encuesta-datos-abiertos-Madrid,Encuesta de uso del Portal de Datos Abiertos del Ayuntamiento de Madrid,https://datos.madrid.es/egob/catalogo/300726-0-encuesta-datos-abiertos-Madrid.csv,text/csv,Encuesta 2024,20480,2024-12-04T11:18:49.000000,2024-12-04T11:19:02.000000,http://datos.gob.es/kos/sector-publico/sector/sector-publico
https://datos.madrid.es/egob/catalogo/300725-0-codigo-buenas-prácticas,Código de buenas prácticas del Ayuntamiento de Madrid,https://datos.madrid.es/egob/catalogo/300725-0-codigo-buenas-prácticas.csv,text/csv,Código de buenas prácticas del Ayuntamiento de Madrid,43008,2024-11-29T09:16:13.000000,2024-12-10T12:11:40.000000,http://datos.gob.es/kos/sector-publico/sector/sector-publico
https://datos.madrid.es/egob/catalogo/300708-0-encuesta-laboratorio-salud,Encuesta de satisfacción realizada entre las personas que utilizan los servicios analíticos del Laboratorio Municipal de Salud Pública 2023,https://datos.madrid.es/egob/catalogo/300708-0-encuesta-laboratorio-salud.csv,text/csv,Encuesta 2023. Resultados de la encuesta,17408,2024-10-17T13:39:57.000000,2024-10-17T13:40:39.000000,http://datos.gob.es/kos/sector-publico/sector/salud
https://datos.madrid.es/egob/catalogo/300708-0-encuesta-laboratorio-salud,Encuesta de satisfacción realizada entre las personas que utilizan los servicios analíticos del Laboratorio Municipal de Salud Pública 2023,https://datos.madrid.es/egob/catalogo/300708-2-encuesta-laboratorio-salud.csv,text/csv,Encuesta 2023. Diseño de registro,1024,2024-10-17T13:39:57.000000,2024-10-17T13:40:39.000000,http://datos.gob.es/kos/sector-publico/sector/salud
https://datos.madrid.es/egob/catalogo/300706-0-participación ciudadana,Miembros y colaboradores de la comunidad The Participatory Group,https://datos.madrid.es/egob/catalogo/300706-0-participación ciudadana.csv,text/csv,"""The Participatory Group""",2048,2024-09-09T14:53:32.000000,2024-09-09T14:53:40.000000,http://datos.gob.es/kos/sector-publico/sector/sociedad-bienestar
https://datos.madrid.es/egob/catalogo/300702-0-satisfacción-archivo-villa,Estudio de satisfacción de las personas usuarias del Archivo de Villa,https://datos.madrid.es/egob/catalogo/300702-1-satisfacción-archivo-villa.csv,text/csv,2023,25600,2024-08-07T16:46:38.000000,2024-10-14T08:23:01.000000,http://datos.gob.es/kos/sector-publico/sector/sociedad-bienestar
https://datos.madrid.es/egob/catalogo/300701-0-empleo-oep,Ofertas de Empleo Público del Ayuntamiento de Madrid y sus organismos autónomos,https://datos.madrid.es/egob/catalogo/300701-0-empleo-oep.csv,text/csv,Oferta de empleo público 2018-2023,93184,2024-08-05T14:16:00.000000,2024-08-05T14:16:35.000000,http://datos.gob.es/kos/sector-publico/sector/empleo
https://datos.madrid.es/egob/catalogo/300698-0-evaluación-plan-formación,Evaluación del Plan de Formación del Ayuntamiento de Madrid,https://datos.madrid.es/egob/catalogo/300698-0-evaluación-plan-formación.csv,text/csv,Evaluación del Plan de Formación 2023,140288,2024-06-10T12:36:33.000000,2024-08-26T12:55:34.000000,http://datos.gob.es/kos/sector-publico/sector/empleo
https://datos.madrid.es/egob/catalogo/300696-0-ejecución-plan-formación,Ejecución del plan de formación del Ayuntamiento de Madrid,https://datos.madrid.es/egob/catalogo/300696-0-ejecución-plan-formación.csv,text/csv,Ejecución del Plan de Formación 2024,1024,2024-06-10T10:26:13.000000,2024-12-12T12:23:18.000000,http://datos.gob.es/kos/sector-publico/sector/empleo
https://datos.madrid.es/egob/catalogo/300687-0-plantilla-estabilizacion,Plantilla municipal: procesos selectivos de estabilización,https://datos.madrid.es/egob/catalogo/300687-0-plantilla-estabilizacion.csv,text/csv,Procesos de estabilización,34816,2024-05-20T13:34:09.000000,2024-12-02T11:19:19.000000,http://datos.gob.es/kos/sector-publico/sector/sector-publico
https://datos.madrid.es/egob/catalogo/300685-0-empleo-mentoring,Mentoring,https://datos.madrid.es/egob/catalogo/300685-0-empleo-mentoring.csv,text/csv,Mentores,5120,2024-07-30T12:11:11.000000,2024-07-30T13:06:11.000000,http://datos.gob.es/kos/sector-publico/sector/empleo
https://datos.madrid.es/egob/catalogo/300685-0-empleo-mentoring,Mentoring,https://datos.madrid.es/egob/catalogo/300685-2-empleo-mentoring.csv,text/csv,Mentees (mentorizados),8192,2024-07-30T12:11:11.000000,2024-07-30T13:06:11.000000,http://datos.gob.es/kos/sector-publico/sector/empleo
https://datos.madrid.es/egob/catalogo/300683-0-estudio-museos-exposiciones,Estudio de satisfacción de las personas usuarias de los museos y exposiciones municipales,https://datos.madrid.es/egob/catalogo/300683-0-estudio-museos-exposiciones.csv,text/csv,2023,237568,2024-05-17T12:27:56.000000,2024-05-23T10:44:10.000000,http://datos.gob.es/kos/sector-publico/sector/cultura-ocio
"https://datos.madrid.es/egob/catalogo/300681-0-adicciones, CAD, tratamiento",Madrid Salud. Personas en tratamiento en los centros de atención a las adicciones (CAD),"https://datos.madrid.es/egob/catalogo/300681-24-adicciones, CAD, tratamiento.csv",text/csv,2024. Por centro,1024,2024-04-29T13:21:01.000000,2024-08-28T10:39:01.000000,http://datos.gob.es/kos/sector-publico/sector/salud
"https://datos.madrid.es/egob/catalogo/300681-0-adicciones, CAD, tratamiento",Madrid Salud. Personas en tratamiento en los centros de atención a las adicciones (CAD),"https://datos.madrid.es/egob/catalogo/300681-20-adicciones, CAD, tratamiento.csv",text/csv,2023. Por distrito,1024,2024-04-29T13:21:01.000000,2024-08-28T10:39:01.000000,http://datos.gob.es/kos/sector-publico/sector/salud
"https://datos.madrid.es/egob/catalogo/300681-0-adicciones, CAD, tratamiento",Madrid Salud. Personas en tratamiento en los centros de atención a las adicciones (CAD),"https://datos.madrid.es/egob/catalogo/300681-22-adicciones, CAD, tratamiento.csv",text/csv,2023. Por centro,1024,2024-04-29T13:21:01.000000,2024-08-28T10:39:01.000000,http://datos.gob.es/kos/sector-publico/sector/salud
"https://datos.madrid.es/egob/catalogo/300681-0-adicciones, CAD, tratamiento",Madrid Salud. Personas en tratamiento en los centros de atención a las adicciones (CAD),"https://datos.madrid.es/egob/catalogo/300681-16-adicciones, CAD, tratamiento.csv",text/csv,2022. Por distrito,1024,2024-04-29T13:21:01.000000,2024-08-28T10:39:01.000000,http://datos.gob.es/kos/sector-publico/sector/salud
"https://datos.madrid.es/egob/catalogo/300681-0-adicciones, CAD, tratamiento",Madrid Salud. Personas en tratamiento en los centros de atención a las adicciones (CAD),"https://datos.madrid.es/egob/catalogo/300681-18-adicciones, CAD, tratamiento.csv",text/csv,2022. Por centro,1024,2024-04-29T13:21:01.000000,2024-08-28T10:39:01.000000,http://datos.gob.es/kos/sector-publico/sector/salud
"https://datos.madrid.es/egob/catalogo/300681-0-adicciones, CAD, tratamiento",Madrid Salud. Personas en tratamiento en los centros de atención a las adicciones (CAD),"https://datos.madrid.es/egob/catalogo/300681-12-adicciones, CAD, tratamiento.csv",text/csv,2021. Por distrito,1024,2024-04-29T13:21:01.000000,2024-08-28T10:39:01.000000,http://datos.gob.es/kos/sector-publico/sector/salud
"https://datos.madrid.es/egob/catalogo/300681-0-adicciones, CAD, tratamiento",Madrid Salud. Personas en tratamiento en los centros de atención a las adicciones (CAD),"https://datos.madrid.es/egob/catalogo/300681-14-adicciones, CAD, tratamiento.csv",text/csv,2021. Por centro,1024,2024-04-29T13:21:01.000000,2024-08-28T10:39:01.000000,http://datos.gob.es/kos/sector-publico/sector/salud
"https://datos.madrid.es/egob/catalogo/300681-0-adicciones, CAD, tratamiento",Madrid Salud. Personas en tratamiento en los centros de atención a las adicciones (CAD),"https://datos.madrid.es/egob/catalogo/300681-8-adicciones, CAD, tratamiento.csv",text/csv,2020. Por distrito,1024,2024-04-29T13:21:01.000000,2024-08-28T10:39:01.000000,http://datos.gob.es/kos/sector-publico/sector/salud
"https://datos.madrid.es/egob/catalogo/300681-0-adicciones, CAD, tratamiento",Madrid Salud. Personas en tratamiento en los centros de atención a las adicciones (CAD),"https://datos.madrid.es/egob/catalogo/300681-10-adicciones, CAD, tratamiento.csv",text/csv,2020. Por centro,1024,2024-04-29T13:21:01.000000,2024-08-28T10:39:01.000000,http://datos.gob.es/kos/sector-publico/sector/salud
