indentifier;dataset_title;theme;keywords;issued;modified;frequency;distribution_title;mediaType;accessURL
https://datos.madrid.es/egob/catalogo/300736-0-tasa-residuos;Parque Tecnológico de Valdemingómez (PTV): caracterizaciones de residuos tasa municipal;http://datos.gob.es/kos/sector-publico/sector/medio-ambiente;Residuos, Valdemingómez, tasa municipal residuos, gestión residuos, caracterizaciones;2024-12-30T15:41:08.000000;2024-12-30T15:41:28.000000;anual;2024;text/csv;https://datos.madrid.es/egob/catalogo/300736-0-tasa-residuos.csv
https://datos.madrid.es/egob/catalogo/300736-0-tasa-residuos;Parque Tecnológico de Valdemingómez (PTV): caracterizaciones de residuos tasa municipal;http://datos.gob.es/kos/sector-publico/sector/medio-ambiente;Residuos, Valdemingómez, tasa municipal residuos, gestión residuos, caracterizaciones;2024-12-30T15:41:08.000000;2024-12-30T15:41:28.000000;anual;2024;application/vnd.ms-excel;https://datos.madrid.es/egob/catalogo/300736-1-tasa-residuos.xlsx
https://datos.madrid.es/egob/catalogo/300729-0-evaluación-unidades-distritales;Evaluación de las Unidades Distritales de Colaboración (UDC);http://datos.gob.es/kos/sector-publico/sector/sector-publico;Unidades Distritales de Colaboración, evaluación, ciudadanía, actuaciones, estudio;2024-12-17T12:28:55.000000;2024-12-18T12:30:40.000000;anual;Evaluación del conocimiento de las UDC 2024;text/csv;https://datos.madrid.es/egob/catalogo/300729-0-evaluación-unidades-distritales.csv
https://datos.madrid.es/egob/catalogo/300729-0-evaluación-unidades-distritales;Evaluación de las Unidades Distritales de Colaboración (UDC);http://datos.gob.es/kos/sector-publico/sector/sector-publico;Unidades Distritales de Colaboración, evaluación, ciudadanía, actuaciones, estudio;2024-12-17T12:28:55.000000;2024-12-18T12:30:40.000000;anual;Evaluación del conocimiento de las UDC 2024;application/vnd.ms-excel;https://datos.madrid.es/egob/catalogo/300729-1-evaluación-unidades-distritales.xlsx
https://datos.madrid.es/egob/catalogo/300729-0-evaluación-unidades-distritales;Evaluación de las Unidades Distritales de Colaboración (UDC);http://datos.gob.es/kos/sector-publico/sector/sector-publico;Unidades Distritales de Colaboración, evaluación, ciudadanía, actuaciones, estudio;2024-12-17T12:28:55.000000;2024-12-18T12:30:40.000000;anual;Evaluación de las actuaciones de las UDC 2024;text/csv;https://datos.madrid.es/egob/catalogo/300729-2-evaluación-unidades-distritales.csv
https://datos.madrid.es/egob/catalogo/300729-0-evaluación-unidades-distritales;Evaluación de las Unidades Distritales de Colaboración (UDC);http://datos.gob.es/kos/sector-publico/sector/sector-publico;Unidades Distritales de Colaboración, evaluación, ciudadanía, actuaciones, estudio;2024-12-17T12:28:55.000000;2024-12-18T12:30:40.000000;anual;Evaluación de las actuaciones de las UDC 2024;application/vnd.ms-excel;https://datos.madrid.es/egob/catalogo/300729-3-evaluación-unidades-distritales.xlsx
https://datos.madrid.es/egob/catalogo/300726-0-encuesta-datos-abiertos-Madrid;Encuesta de uso del Portal de Datos Abiertos del Ayuntamiento de Madrid;http://datos.gob.es/kos/sector-publico/sector/sector-publico;encuesta, datos abiertos, Madrid;2024-12-04T11:18:49.000000;2024-12-04T11:19:02.000000;;Encuesta 2024;text/csv;https://datos.madrid.es/egob/catalogo/300726-0-encuesta-datos-abiertos-Madrid.csv
https://datos.madrid.es/egob/catalogo/300726-0-encuesta-datos-abiertos-Madrid;Encuesta de uso del Portal de Datos Abiertos del Ayuntamiento de Madrid;http://datos.gob.es/kos/sector-publico/sector/sector-publico;encuesta, datos abiertos, Madrid;2024-12-04T11:18:49.000000;2024-12-04T11:19:02.000000;;Encuesta 2024;application/vnd.ms-excel;https://datos.madrid.es/egob/catalogo/300726-1-encuesta-datos-abiertos-Madrid.xlsx
https://datos.madrid.es/egob/catalogo/300725-0-codigo-buenas-prácticas;Código de buenas prácticas del Ayuntamiento de Madrid;http://datos.gob.es/kos/sector-publico/sector/sector-publico;;2024-11-29T09:16:13.000000;2024-12-10T12:11:40.000000;;Código de buenas prácticas del Ayuntamiento de Madrid;text/csv;https://datos.madrid.es/egob/catalogo/300725-0-codigo-buenas-prácticas.csv
https://datos.madrid.es/egob/catalogo/300725-0-codigo-buenas-prácticas;Código de buenas prácticas del Ayuntamiento de Madrid;http://datos.gob.es/kos/sector-publico/sector/sector-publico;;2024-11-29T09:16:13.000000;2024-12-10T12:11:40.000000;;Código de buenas prácticas del Ayuntamiento de Madrid;application/vnd.ms-excel;https://datos.madrid.es/egob/catalogo/300725-1-codigo-buenas-prácticas.xlsx
