CODIGO;PARAMETRO;UNIDAD;COD_TECNICA;TECNICA
80;RADIACION ULTRAVIOLETA;Mw/m2;98;
81;VELOCIDAD VIENTO;m/s;98;
82;DIR. DE VIENTO;-;98;
83;TEMPERATURA;ºC;98;
86;HUMEDAD RELATIVA;%;98;
87;PRESION BARIOMETRICA;mb;98;
88;RADIACION SOLAR;W/m2;98;
89;PRECIPITACIÓN;l/m2;98;
01;Dióxido de Azufre SO2;µg/m3;38;Fluorescencia ultravioleta
06;Monóxido de Carbono CO;mg/m3;48;Absorción infrarroja
07;Monóxido de Nitrógeno NO;µg/m3;08;Quimioluminiscencia
08;Dióxido de Nitrógeno NO2;µg/m3;08;Quimioluminiscencia
09;Partículas < 2.5 µm PM2.5;µg/m3;47;Microbalanza/Espectrometría*
10;Partículas < 10 µm PM10;µg/m3;47;Microbalanza/Espectrometría*
12;Óxidos de Nitrógeno NOx;µg/m3;08;Quimioluminiscencia
14;Ozono O3;µg/m3;06;Absorción ultravioleta
20;Tolueno TOL;µg/m3;59;Cromatografía de gases
30;Benceno BEN;µg/m3;59;Cromatografía de gases
35;Etilbenceno EBE;µg/m3;59;Cromatografía de gases
37;Metaxileno MXY;µg/m3;59;Cromatografía de gases
38;Paraxileno PXY;µg/m3;59;Cromatografía de gases
39;Ortoxileno OXY;µg/m3;59;Cromatografía de gases
42;Hidrocarburos totales (hexano) TCH;mg/m3;59;Cromatografía de gases
43;Metano CH4;mg/m3;59;Cromatografía de gases
44;Hidrocarburos no metánicos (hexano) NMHC;mg/m3;59;Cromatografía de gases
431;Metaparaxileno MPX;mg/m3;59;Cromatografía de gases
